instance,chuffed_plain_bin_packing.mzn,chuffed_plain_no_bin_packing.mzn,chuffed_sym.mzn,chuffed_sym_simple.mzn,gecode_lns90.mzn,gecode_lns94.mzn,gecode_plain_bin_packing.mzn,gecode_plain_no_bin_packing.mzn,gecode_sym.mzn,gecode_sym_lns90.mzn,gecode_sym_lns94.mzn,gecode_sym_simple.mzn,gecode_sym_simple_lns90.mzn,gecode_sym_simple_lns94.mzn
1,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,226,226,226,226,226,226,226,226,226,226,226,226,226,226
3,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4,220,220,220,220,220,220,220,220,220,220,220,220,220,220
5,206,206,206,206,206,206,206,206,206,206,206,206,206,206
6,322,322,322,322,322,322,322,322,322,322,322,322,322,322
7,167,353,167,399,167,167,167,167,167,167,169,167,167,167
8,186,186,186,186,186,186,186,186,186,186,186,186,186,186
9,436,436,436,436,436,436,436,436,436,436,436,436,436,436
10,244,244,244,244,244,244,244,244,244,244,244,244,244,244
